Category,Sub Category,Product,Price,Stars_and_Count,,,,
Industrial & Scientific,Tools & Home Improvement,"35.5inch Drain Clog Remover(1pcs), 25inch Drain Snake Hair Remover(6pcs) Ôº?Cleaning Brush(2pcs), Hair Catcher Drain Auger Cleaner Tool Set For Toilet, Kitchen Sink, Bathroom Tub, Sewer, 9 Pack",$7.99 ,"4.3 out of 5 stars 4,460  ",,,,
Pet Supplies,Health & Household,"36 Count, Plaque Dental Disclosing Tablets for Kids or Adults, Shows Plaque, Helps Teach Brushing Habits for Clean Teeth, by Fresh Knight, Pack of (1)",$12.99 ,"4.1 out of 5 stars 7,838  ",,,,
Industrial & Scientific,Sports & Outdoors,"360 Count Extra Heavy Duty Clear Plastic Silverware, 150 Forks, 150 Spoons, 60 Knives, BPA-Free, Heat Resistant, Disposable Plastic Utensils Set, Plastic Cutlery Set, Plasticware Bulk",$25.99 ,"4.7 out of 5 stars 1,654  ",,,,
Industrial & Scientific,"Patio, Lawn & Garden","360¬∞ Adjustable Drip Irrigation System - 50Ft Garden Watering System with 16 Nozzles, Garden Irrigation System, Greenhouse Accessories, Atomizing System for Yard, Lawn, Plants, 5/16 inch Hose",$29.99 ,4.5 out of 5 stars 22  ,,,,
Industrial & Scientific,Grocery & Gourmet Food,"365 by Whole Foods Market, Paper Towels 135 Sheet Jumbo Rolls 3 Count, 135 Count",$5.49 ,"4.3 out of 5 stars 8,903  ",,,,
Industrial & Scientific,Musical Instruments,36LEDs RGB Stage Lights 2Pack - 36W Par Lights Sound Activated Remote & DMX Control by Corded Electric Uplights for Events Church Wedding Club Band Music Dance Show DJ Party Lighting,$46.15 ,"4.4 out of 5 stars 1,848  ",,,,
Tools & Home Improvement,,"3D Multi-Angle Measuring Ruler,45/90 Degree Aluminum Alloy Woodworking Square Protractor,Drawing Line Ruler, Miter Triangle Ruler High Precision Layout Measuring Tool for Engineer Carpenter,R",$13.99 ,"4.4 out of 5 stars 1,630  ",,,,
Industrial & Scientific,Toys & Games,"3Doodler Start+ Essentials (2024) 3D Pen Set for Kids, Easy to Use, Learn from Home Art Activity Set, Educational STEM Toy for Boys & Girls Ages 6+",$44.99 ,"4.3 out of 5 stars 8,918  ",,,,
Industrial & Scientific,"Patio, Lawn & Garden","3M P95/OV Paint Project Reusable Respirator 6211, Medium Size, NIOSH-APPROVED Organic Vapor Cartridge & P95 Rated Filters, Lightweight, Flexible, Thermoplastic Faceseal For Comfort (6211P1-DC)",$35.64 ,"4.7 out of 5 stars 2,068  ",,,,
Industrial & Scientific,Cell Phones & Accessories,"3-Pack [3.3FT+6.6FT+10FT] 60W USB C to USB C Cable, Type C to Type C Cable,Fast Charging Cable for iPhone 16 15 Pro Plus Pro MaxÔºåfor Galaxy S25 S24, for iPad Pro/Air, for MacBook Pro/Air and More",$9.99 ,"4.6 out of 5 stars 3,277  ",,,,
